date,avg_wind_speed_all_stations,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,installed_wind_capacity_mw,predicted_wind_generation_kwh
2022-01-01,7.054416666666667,351.06159578303067,-0.5125071256943168,-0.8586829718310185,9000,36297228.03522484
2022-01-02,9.18525,774.9486815159531,-0.7642787616342115,-0.6448860166842479,9000,50780940.07542355
2022-01-03,9.257333333333332,793.3369927277038,-0.8468256455604821,-0.5318705914233958,9000,51116143.258977756
2022-01-04,6.024500000000001,218.65681920612508,-0.9638557040068944,0.2664248146351498,9000,27770973.74930638
2022-01-05,9.960083333333332,988.0727366075006,-0.848786715841927,0.5287353884603109,9000,55274937.075096756
2022-01-06,5.6495,180.31424548737496,-0.8182450396146342,-0.574869598383882,9000,25757472.717966318
2022-01-07,7.167833333333333,368.2677561173287,-0.8391906937275321,-0.5438372730524301,9000,36543681.662539706
2022-01-08,7.288583333333333,387.19467046403184,-0.5252068141912176,-0.8509746190851475,9000,37934932.96076304
2022-01-09,6.668583333333333,296.5519253311152,-0.9598341903185152,0.2805678654008692,9000,32363777.34511052
2022-01-10,3.084166666666667,29.33685248900464,-0.1150165257719847,-0.9933635783535364,9000,8187375.070140585
2022-01-11,4.769666666666667,108.50858168996297,-0.1816699378608267,-0.9833595647969482,9000,20371756.89302741
2022-01-12,2.960166666666667,25.9387170466713,-0.971654800280482,-0.236404207009725,9000,5863290.435678393
2022-01-13,4.631083333333334,99.32253322772976,-0.9352060454600324,-0.3541040137233802,9000,18144098.62374802
2022-01-14,2.898083333333333,24.340674453375573,-0.9993107935633252,0.0371205854996572,9000,5211151.553142086
2022-01-15,3.2825,35.36830151562499,0.1305569209285157,-0.9914408153781372,9000,9909323.915125765
2022-01-16,5.90875,206.29411832617183,-0.9999855533060524,-0.005375237593663,9000,27067500.22623664
2022-01-17,5.735166666666667,188.64188596542132,-0.833553070237567,0.5524393895238877,9000,25667103.539862677
2022-01-18,3.1001666666666665,29.79580525833796,-0.8371480913435004,-0.5469763003640417,9000,7226772.300642706
2022-01-19,6.277416666666666,247.36763011359315,-0.9999232568833432,0.0123887184086048,9000,29694593.759616405
2022-01-20,8.939166666666667,714.3171936244214,-0.3641060815201931,0.9313574831395356,9000,48566070.600921705
2022-01-21,6.3780833333333335,259.4600920058756,-0.6627803756093449,0.7488138444948356,9000,30339218.252599478
2022-01-22,4.03025,65.46300843064061,-0.8745019782458155,0.4850219480025159,9000,13337799.811409786
2022-01-23,2.1747500000000004,10.28556181404688,-0.5900429984279028,-0.8073718226481588,9000,882164.5923160613
2022-01-24,1.8696666666666668,6.535706723296298,0.2733131778152422,-0.9619251045858684,9000,0.0
2022-01-25,1.8619166666666669,6.454769205791088,-0.3828179354309892,-0.9238238080458604,9000,0.0
2022-01-26,5.624583333333334,177.9389677733652,-0.9261683945947042,-0.3771102025321886,9000,25337345.656180725
2022-01-27,8.941416666666667,714.8567131290932,-0.995324434002228,0.0965881518517912,9000,48387910.69541411
2022-01-28,5.992500000000001,215.19101207812503,-0.99963506943672,-0.0270134772334896,9000,27681171.069954038
2022-01-29,10.048666666666666,1014.6711685976294,-0.9971695634220392,-0.0751855157906095,9000,56080708.834987074
2022-01-30,6.799083333333333,314.3048571408964,-0.9428236496234268,0.3332920126717136,9000,33278226.36440833
2022-01-31,12.560666666666666,1981.7007399469628,-0.7623118387599322,0.6472099045027441,9000,72579692.14587325
2022-02-01,9.219166666666666,783.5649462077546,-0.9760148087507312,0.2177041412083698,9000,50251618.56071432
2022-02-02,5.940250000000001,209.6110478137657,-0.9795222916677688,0.2013357398126875,9000,27189801.74131526
2022-02-03,6.603166666666667,287.9100185817546,-0.7344604079796753,-0.6786515373226005,9000,32735366.040596694
2022-02-04,9.268666666666666,796.2543008376296,-0.9481370273500588,-0.3178618841065946,9000,50950472.502247006
2022-02-05,10.18225,1055.6775053201409,-0.928809768487429,-0.3705568970648483,9000,57243885.79626602
2022-02-06,11.954583333333334,1708.4541625702404,-0.9935802518636954,-0.1131294970663076,9000,68837493.22143629
2022-02-07,8.446666666666667,602.6373816296298,-0.9766562262154452,0.2148083233829754,9000,44904123.7495542
2022-02-08,8.528916666666667,620.414034106437,-0.878873071246965,-0.4770556829521341,9000,46007984.85176411
2022-02-09,6.862916666666666,323.24080259772853,-0.8147358242100042,-0.5798323350321584,9000,34432035.47503899
2022-02-10,5.18825,139.65699215276564,-0.997147343536523,-0.0754796348563992,9000,21932478.291500792
2022-02-11,6.5600000000000005,282.30041600000004,-0.8169605074562212,0.5766936181863586,9000,31569286.948571727
2022-02-12,6.5592500000000005,282.2036014695782,-0.1085699990179092,-0.9940888065526396,9000,33312989.207168773
2022-02-13,8.399083333333333,592.5099811742298,-0.1311058098757664,-0.9913683808841288,9000,46251983.11419983
2022-02-14,9.443666666666669,842.2130143959631,-0.64316988645534,-0.7657235122137919,9000,52766232.10881345
2022-02-15,8.049249999999999,521.5143329589529,-0.7886690559770847,-0.6148179569142511,9000,42846272.594218925
2022-02-16,11.638833333333334,1576.6247779284124,-0.8197999888704356,-0.5726499613621165,9000,67234822.27510907
2022-02-17,11.8575,1667.168131359375,-0.9980043312050132,-0.063145505746922,9000,68164821.72411212
2022-02-18,12.3815,1898.1030453683743,-0.7930839358751898,-0.6091123629156757,9000,72150743.6198194
2022-02-19,11.264833333333334,1429.4675854512454,-0.9610930311560852,-0.2762248820494058,9000,64419094.03367686
2022-02-20,11.877666666666666,1675.688925227296,-0.8494744633031706,-0.5276297339951477,9000,68746556.86628993
2022-02-21,12.748333333333331,2071.8591687453704,-0.9705115965682546,0.2410544356085103,9000,73807945.89429931
2022-02-22,8.229833333333334,557.4079012358287,-0.9918842358609335,-0.1271442592120142,9000,43584255.93276644
